,GWO,PSO,SGA,IGA
0,-1629.9379097162303,-50.65172534853242,-3169.3181691188624,-3323.891722732988
1,-3295.9903238581855,-53.41332109487612,-3169.3181691188624,-3323.891722732988
2,-4164.291274744663,-69.58278645591271,-3743.4129222028687,-3955.4375245756105
3,-5493.692673376499,-77.45758863412297,-3851.283551712335,-5417.6747559417545
4,-5493.692673376499,-86.50632998219388,-3957.8648269076384,-8273.134789680287
5,-7874.324779759273,-93.00701378836487,-4033.953470327345,-8273.134789680287
6,-8423.418035127232,-96.54325148834323,-4206.4589194905275,-8358.070333017104
7,-8712.525716447906,-102.05058215598767,-4206.4589194905275,-8358.070333017104
8,-8733.477092570707,-102.2773871011378,-4275.552450051474,-8358.070333017104
9,-8879.15769975153,-102.2773871011378,-4889.875876152346,-8358.070333017104
10,-8879.15769975153,-102.2773871011378,-5088.429692031818,-8358.070333017104
11,-8879.15769975153,-102.2773871011378,-5375.544016236985,-8481.508197944997
12,-8959.754361061712,-102.2773871011378,-5409.753360072136,-8481.508197944997
13,-8959.754361061712,-102.2773871011378,-5426.615134230226,-8481.508197944997
14,-8959.754361061712,-102.2773871011378,-5748.696498947872,-8481.508197944997
15,-8959.754361061712,-102.2773871011378,-6049.236648844837,-8515.126025541269
16,-8959.754361061712,-102.2773871011378,-6049.236648844837,-8587.043353772402
17,-8959.754361061712,-102.2773871011378,-6049.236648844837,-8587.043353772402
18,-8959.754361061712,-102.2773871011378,-6137.731756464382,-8587.043353772402
19,-8960.493055768131,-102.2773871011378,-6305.79580541928,-8587.043353772402
20,-8960.493055768131,-102.2773871011378,-6315.948914651872,-8587.043353772402
21,-8969.741423475778,-102.2773871011378,-6315.948914651872,-8594.424943540049
22,-8969.741423475778,-102.2773871011378,-6315.948914651872,-8594.424943540049
23,-8969.741423475778,-102.2773871011378,-6383.493220445284,-8594.424943540049
24,-8970.897940922792,-102.2773871011378,-6519.75935354664,-8594.424943540049
25,-8971.186713019864,-102.2773871011378,-6670.141119199481,-8594.424943540049
26,-8971.186713019864,-102.2773871011378,-6670.141119199481,-8594.424943540049
27,-8971.186713019864,-102.2773871011378,-6670.141119199481,-8594.424943540049
28,-8971.186713019864,-102.2773871011378,-6753.430046228617,-8594.424943540049
29,-8971.186713019864,-102.2773871011378,-6878.78347275918,-8595.225673584679
30,-8971.186713019864,-102.2773871011378,-6900.996555425612,-8595.225673584679
31,-8971.186713019864,-102.2773871011378,-7009.942370742303,-8595.225673584679
32,-8971.186713019864,-102.2773871011378,-7009.942370742303,-8595.225673584679
33,-8971.186713019864,-102.2773871011378,-7069.696936898682,-8595.225673584679
34,-8971.186713019864,-102.2773871011378,-7069.696936898682,-8595.225673584679
35,-8971.186713019864,-102.2773871011378,-7100.482220055699,-8595.225673584679
36,-8971.186713019864,-102.2773871011378,-7199.062172561224,-8595.225673584679
37,-8971.186713019864,-102.2773871011378,-7348.771883113142,-8595.225673584679
38,-8971.227941058958,-102.2773871011378,-7348.771883113142,-8595.225673584679
39,-8971.666387048657,-102.2773871011378,-7424.930853231241,-8595.225673584679
40,-8971.666387048657,-102.2773871011378,-7424.930853231241,-8595.225673584679
41,-8971.666387048657,-102.2773871011378,-7425.642310321146,-8595.225673584679
42,-8971.666387048657,-102.2773871011378,-7425.642311721284,-8595.225673584679
43,-8971.666387048657,-102.2773871011378,-7466.8235505319435,-8595.225673584679
44,-8971.666387048657,-102.2773871011378,-7466.8235505319435,-8595.225673584679
45,-8971.705779851478,-102.2773871011378,-7475.113053834343,-8595.247241073497
46,-8971.705779851478,-102.2773871011378,-7577.2597885089635,-8595.76319940833
47,-8971.705779851478,-102.2773871011378,-7577.27733158723,-8595.76319940833
48,-8971.705779851478,-102.2773871011378,-7577.27733158723,-8595.909112126026
49,-8971.705779851478,-102.2773871011378,-7577.27733158723,-8596.076998644654
50,-8971.705779851478,-102.2773871011378,-7682.110791555937,-8596.076998644654
51,-8971.705779851478,-102.2773871011378,-7715.828802722573,-8596.076998644654
52,-8971.705779851478,-102.2773871011378,-7715.832103870248,-8596.986797218487
53,-8971.705779851478,-102.2773871011378,-7760.975138447435,-8596.986797218487
54,-8971.722604061348,-102.2773871011378,-7760.975138447435,-8596.986797218487
55,-8971.722604061348,-102.2773871011378,-7760.975138447435,-8596.986797218487
56,-8971.722604061348,-102.2773871011378,-7760.975138447435,-8596.986797218487
57,-8971.722604061348,-102.2773871011378,-7875.027128560681,-8597.322186068068
58,-8971.722604061348,-102.2773871011378,-7875.027128560681,-8597.322186068068
59,-8971.722604061348,-102.2773871011378,-7875.027128560681,-8597.322186068068
60,-8971.722604061348,-102.2773871011378,-7951.517562019153,-8597.353764103536
61,-8971.722604061348,-102.2773871011378,-7951.517562019153,-8597.353764103536
62,-8973.886526861746,-102.2773871011378,-7951.517562019153,-8597.353764103536
63,-8973.886526861746,-102.2773871011378,-7951.517562019153,-8597.353764103536
64,-8975.00076108181,-102.2773871011378,-7951.517562019153,-8597.353764103536
65,-8975.00076108181,-102.2773871011378,-7951.517562019153,-8597.353764103536
66,-8984.884237380245,-102.2773871011378,-8053.761751575462,-8597.628309580243
67,-8984.884237380245,-102.2773871011378,-8053.761751575462,-8597.628309580243
68,-8985.983784379063,-102.2773871011378,-8053.761751575462,-8597.628309580243
69,-8985.983784379063,-102.2773871011378,-8053.761751575462,-8597.628309580243
70,-8985.983784379063,-102.2773871011378,-8053.761751575462,-8597.655684569774
71,-8987.042123162111,-102.2773871011378,-8053.761751575462,-8597.655684569774
72,-8987.042123162111,-102.2773871011378,-8053.761751575462,-8597.655684569774
73,-8987.042123162111,-102.2773871011378,-8067.680801236847,-8597.655684569774
74,-8988.780887634577,-102.2773871011378,-8073.669832334903,-8597.717176205577
75,-8988.780887634577,-102.2773871011378,-8076.221219655892,-8597.717176205577
76,-8988.780887634577,-102.2773871011378,-8076.255081884851,-8597.717176205577
77,-8988.780887634577,-102.2773871011378,-8076.255081884851,-8597.717176205577
78,-8988.780887634577,-102.2773871011378,-8120.853388797399,-8598.341687787619
79,-8988.780887634577,-102.2773871011378,-8120.94158894558,-8598.341687787619
80,-8988.780887634577,-102.2773871011378,-8157.296030487299,-8598.341687787619
81,-8988.780887634577,-102.2773871011378,-8157.296030487299,-8598.341687787619
82,-8989.424252376743,-102.2773871011378,-8231.065286614741,-8598.341687787619
83,-8989.849746634884,-102.2773871011378,-8232.00975950527,-8598.341687787619
84,-8990.057804606191,-102.2773871011378,-8232.72088272535,-8598.341687787619
85,-8990.770608178786,-102.2773871011378,-8232.863620020345,-8598.341687787619
86,-8990.78192451505,-102.2773871011378,-8237.205395412473,-8598.341687787619
87,-8990.844081957897,-102.2773871011378,-8287.986843892106,-8598.341687787619
88,-8998.625330028624,-102.2773871011378,-8287.986843892106,-8598.486258089173
89,-8998.625330028624,-102.2773871011378,-8287.986843892106,-8598.486258089173
90,-8998.692448521459,-102.2773871011378,-8287.986843892106,-8598.486258089173
91,-8998.692448521459,-102.2773871011378,-8287.986843892106,-8598.486258089173
92,-8999.285390105402,-102.2773871011378,-8287.986843892106,-8598.486258089173
93,-8999.772021446415,-102.2773871011378,-8296.134451919843,-8598.486258089173
94,-8999.860352003852,-102.2773871011378,-8303.9478511373,-8598.486258089173
95,-9000.02930503487,-102.2773871011378,-8303.948231132585,-8598.486258089173
96,-9000.02930503487,-102.2773871011378,-8303.948231132585,-8598.486258089173
97,-9000.048631283371,-102.2773871011378,-8303.948231132585,-8598.486258089173
98,-9000.048631283371,-102.2773871011378,-8303.948231132585,-8598.486258089173
99,-9000.42223315814,-102.2773871011378,-8303.948231132585,-8598.492831112922
100,-9000.42223315814,-102.2773871011378,-8303.948231132585,-8598.492831112922
0,-3021.2359601079065,-34.024288166231834,-2009.3583165429245,-3387.13752683911
1,-3135.2525335767787,-49.680496361442614,-2060.2418226543837,-3387.13752683911
2,-3135.2525335767787,-68.47955984666274,-2701.680295764122,-3387.13752683911
3,-4231.512483801238,-82.66784604083144,-3043.6907657058982,-3387.13752683911
4,-4449.530268530562,-87.52552736479815,-3313.55214214385,-3387.13752683911
5,-6419.361125425507,-91.5328167653884,-3632.5272985107663,-3387.13752683911
6,-8049.141988924698,-95.70124024607037,-3632.530141300341,-4406.051734304059
7,-8049.141988924698,-97.64989266416588,-4104.74554757161,-4406.051734304059
8,-8337.111180113223,-99.67583785518725,-4104.74554757161,-4481.87259509196
9,-8337.111180113223,-102.2773871011378,-4424.40928801533,-4481.87259509196
10,-8490.85009383854,-102.2773871011378,-4666.971893103034,-5586.368543751208
11,-8490.85009383854,-102.2773871011378,-4666.971893103034,-5986.652045088352
12,-8490.85009383854,-102.2773871011378,-4666.971893103034,-6140.457631867231
13,-8490.85009383854,-102.2773871011378,-5190.847723997753,-6140.457631867231
14,-8506.861573172115,-102.2773871011378,-5190.847723997753,-6140.457631867231
15,-8506.861573172115,-102.2773871011378,-5365.669536557192,-6140.457631867231
16,-8506.861573172115,-102.2773871011378,-5365.669536557192,-6140.457631867231
17,-8526.39147487738,-102.2773871011378,-5435.396874342007,-6247.155457931286
18,-8526.39147487738,-102.2773871011378,-5444.354214951749,-6250.549667677888
19,-8526.39147487738,-102.2773871011378,-5444.354214951749,-6306.142977378309
20,-8598.648198527471,-102.2773871011378,-5544.668077255999,-6306.142977378309
21,-8598.648198527471,-102.2773871011378,-5567.840271959722,-6312.302915415352
22,-8598.648198527471,-102.2773871011378,-5732.180287630651,-6335.060387108765
23,-8598.648198527471,-102.2773871011378,-5900.563297167012,-6335.060387108765
24,-8598.648198527471,-102.2773871011378,-5992.656833445986,-8113.193001310159
25,-8621.84313449048,-102.2773871011378,-6221.324951759334,-8113.193001310159
26,-8621.84313449048,-102.2773871011378,-6221.324951759334,-8113.193001310159
27,-8622.199630595804,-102.2773871011378,-6221.324951759334,-8113.193001310159
28,-8622.199630595804,-102.2773871011378,-6221.324951759334,-8113.193001310159
29,-8622.199630595804,-102.2773871011378,-6221.324951759334,-8113.193001310159
30,-8622.199630595804,-102.2773871011378,-6291.316390703984,-8113.193001310159
31,-8631.414593034375,-102.2773871011378,-6291.316390703984,-8203.967005846269
32,-8648.064351640138,-102.2773871011378,-6291.316390703984,-8411.069387516289
33,-8648.064351640138,-102.2773871011378,-6295.988760962453,-8411.069387516289
34,-8648.064351640138,-102.2773871011378,-6295.988760962453,-8411.069387516289
35,-8648.064351640138,-102.2773871011378,-6449.795755573796,-8411.069387516289
36,-8648.064351640138,-102.2773871011378,-6632.852121720389,-8411.069387516289
37,-8648.064351640138,-102.2773871011378,-6632.852121720389,-8456.415921660833
38,-8648.064351640138,-102.2773871011378,-6632.852121720389,-8456.415921660833
39,-8648.064351640138,-102.2773871011378,-6632.852121720389,-8477.852724659027
40,-8648.064351640138,-102.2773871011378,-6873.822025149893,-8477.852724659027
41,-8648.064351640138,-102.2773871011378,-6873.822025149893,-8477.852724659027
42,-8648.064351640138,-102.2773871011378,-6873.822025149893,-8477.852724659027
43,-8648.064351640138,-102.2773871011378,-6933.394025075448,-8477.852724659027
44,-8648.064351640138,-102.2773871011378,-7022.744475234225,-8477.852724659027
45,-8648.064351640138,-102.2773871011378,-7022.744475234225,-8477.852724659027
46,-8648.064351640138,-102.2773871011378,-7103.229045806018,-8477.852724659027
47,-8648.475589203452,-102.2773871011378,-7103.229045806018,-8477.852724659027
48,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8477.852724659027
49,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8477.852724659027
50,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8485.683377075851
51,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8485.683377075851
52,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8490.355894828439
53,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8490.355894828439
54,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8490.355894828439
55,-8648.475589203452,-102.2773871011378,-7257.1106399279,-8525.60294366216
56,-8666.988262480527,-102.2773871011378,-7257.1106399279,-8525.60294366216
57,-8673.686309578614,-102.2773871011378,-7257.1106399279,-8525.60294366216
58,-8673.686309578614,-102.2773871011378,-7257.1106399279,-8525.60294366216
59,-8673.686309578614,-102.2773871011378,-7257.1106399279,-8525.60294366216
60,-8699.557394257841,-102.2773871011378,-7257.1106399279,-8533.880592775484
61,-8699.557394257841,-102.2773871011378,-7257.1106399279,-8535.33795582762
62,-8699.557394257841,-102.2773871011378,-7276.820869398071,-8535.33795582762
63,-8702.637151843026,-102.2773871011378,-7276.820869398071,-8538.141230797919
64,-8703.689775585055,-102.2773871011378,-7276.820869398071,-8538.141230797919
65,-8703.689775585055,-102.2773871011378,-7276.820869398071,-8556.290041080425
66,-8703.689775585055,-102.2773871011378,-7361.390058334896,-8556.290041080425
67,-8703.689775585055,-102.2773871011378,-7361.390058334896,-8556.290041080425
68,-8703.689775585055,-102.2773871011378,-7361.390058334896,-8572.767840206112
69,-8703.781750958045,-102.2773871011378,-7361.390058334896,-8572.767840206112
70,-8703.781750958045,-102.2773871011378,-7361.390058334896,-8572.767840206112
71,-8704.629473038141,-102.2773871011378,-7361.390058334896,-8584.205548077229
72,-8727.406309929856,-102.2773871011378,-7361.390058334896,-8584.205548077229
73,-8734.647525114207,-102.2773871011378,-7361.390058334896,-8591.82403805763
74,-8734.647525114207,-102.2773871011378,-7361.390058334896,-8591.82403805763
75,-8740.74961981625,-102.2773871011378,-7361.390058334896,-8595.859479098612
76,-8740.74961981625,-102.2773871011378,-7361.390058334896,-8602.549777900642
77,-8743.68565453691,-102.2773871011378,-7361.390058334896,-8607.038776981532
78,-8743.68565453691,-102.2773871011378,-7361.390058334896,-8607.038776981532
79,-8745.958006975367,-102.2773871011378,-7361.390058334896,-8607.038776981532
80,-8747.920750795845,-102.2773871011378,-7361.390058334896,-8621.838093006438
81,-8748.243913836466,-102.2773871011378,-7439.129066818985,-8621.838093006438
82,-8748.243913836466,-102.2773871011378,-7504.8903681949905,-8621.838093006438
83,-8755.035375615586,-102.2773871011378,-7527.501408798589,-8628.32632099664
84,-8755.035375615586,-102.2773871011378,-7527.675911205155,-8629.330552636617
85,-8755.035375615586,-102.2773871011378,-7631.9402826191545,-8629.330552636617
86,-8755.693482533152,-102.2773871011378,-7631.9402826191545,-8635.450325546295
87,-8756.065721348466,-102.2773871011378,-7631.9402826191545,-8635.450325546295
88,-8756.442704164147,-102.2773871011378,-7631.9402826191545,-8637.18042048894
89,-8761.245811019136,-102.2773871011378,-7862.655300576644,-8637.283917920679
90,-8761.245811019136,-102.2773871011378,-7862.655300576644,-8642.68710939109
91,-8763.567534806441,-102.2773871011378,-7862.655300576644,-8642.68710939109
92,-8766.376829438223,-102.2773871011378,-7862.655300576644,-8642.68710939109
93,-8766.376829438223,-102.2773871011378,-7862.655300576644,-8642.68710939109
94,-8766.741560508264,-102.2773871011378,-7862.655300576644,-8642.68710939109
95,-8766.894046852283,-102.2773871011378,-7862.655300576644,-8642.757971478792
96,-8766.955860588969,-102.2773871011378,-7862.655300576644,-8642.844314387103
97,-8767.015051909128,-102.2773871011378,-7889.462568434384,-8642.850580535123
98,-8767.668742058268,-102.2773871011378,-7889.462568434384,-8642.912378257657
99,-8768.297314155468,-102.2773871011378,-7922.00790779374,-8642.912378257657
100,-8768.297314155468,-102.2773871011378,-7922.007966272985,-8642.912378257657
0,-3037.4257401223927,-32.88634061118498,-2504.375379221541,-2450.2090185926095
1,-3037.4257401223927,-48.49259529018088,-2504.375379221541,-2450.2090185926095
2,-3109.5963974266174,-67.72594420408178,-2817.650859075685,-2450.2090185926095
3,-3398.609773759574,-84.0296188295207,-3366.4300674681535,-2723.6313001171225
