,GWO,PSO,SGA,IGA
0,-1627.7537184097605,-24.156981151315136,-1089.8750010699812,-1519.039085946141
1,-1636.3596176625845,-30.773149269101516,-1519.8125284197708,-1519.039085946141
2,-1736.3100851013385,-34.3867944932591,-1519.8125284197708,-1805.8915853139176
3,-1805.8915853139176,-39.3374565773607,-1519.8125284197708,-1805.8915853139176
4,-1902.4435419230022,-39.3374565773607,-1809.0764932287998,-3004.4156989593466
5,-2348.674586357414,-39.3374565773607,-1872.21035541465,-3004.9455842500033
6,-2348.674586357414,-39.3374565773607,-1872.2120295293325,-3004.9455842500033
7,-2602.0057476114152,-39.3374565773607,-1913.9773959881468,-3004.9455842500033
8,-2756.000681836625,-39.3374565773607,-2048.204259595359,-3004.9455842500033
9,-2756.000681836625,-39.3374565773607,-2360.147804842792,-3004.9455842500033
10,-2756.000681836625,-39.3374565773607,-2364.4770204312695,-3004.9455842500033
11,-2756.099358056322,-39.3374565773607,-2501.3626643671596,-3005.2018681208283
12,-2768.1009374219957,-39.3374565773607,-2561.716625461234,-3005.4191242703305
13,-2805.0741112318706,-39.3374565773607,-2561.716625461234,-3005.4191242703305
14,-2808.760640823885,-39.3374565773607,-2816.0058846917964,-3005.4191242703305
15,-2823.6875879414292,-39.3374565773607,-2816.0058846917964,-3005.4191242703305
16,-2823.6875879414292,-39.3374565773607,-2816.0058846917964,-3005.4191242703305
17,-2824.9919988673414,-39.3374565773607,-2816.0058937592635,-3005.4191242703305
18,-2825.3792222054453,-39.3374565773607,-2816.0058937592635,-3005.4191242703305
19,-2825.3792222054453,-39.3374565773607,-2816.0058937592635,-3005.442654741146
20,-2825.3792222054453,-39.3374565773607,-2816.0058937592635,-3005.442654741146
21,-2825.3792222054453,-39.3374565773607,-2816.7085224222988,-3005.442654741146
22,-2825.3792222054453,-39.3374565773607,-2816.7085224222988,-3005.442654741146
23,-2825.3792222054453,-39.3374565773607,-2845.528216609332,-3005.4435034574285
24,-2825.392998776168,-39.3374565773607,-2854.1430122436714,-3005.4435034574285
25,-2826.0644647867357,-39.3374565773607,-2854.1430122436714,-3005.4435034574285
26,-2826.0644647867357,-39.3374565773607,-2881.309894126783,-3005.4435034574285
27,-2826.0644647867357,-39.3374565773607,-2881.309894126783,-3005.4435034574285
28,-2826.0644647867357,-39.3374565773607,-2882.106142805549,-3005.4435034574285
29,-2826.0644647867357,-39.3374565773607,-2944.065674120123,-3005.4435034574285
30,-2826.0644647867357,-39.3374565773607,-2944.3633164353364,-3005.4435034574285
31,-2826.0644647867357,-39.3374565773607,-2944.3633164353364,-3005.445249548874
32,-2826.0644647867357,-39.3374565773607,-2969.2471335919677,-3005.445249548874
33,-2826.0644647867357,-39.3374565773607,-3002.2781682244035,-3005.445249548874
34,-2826.0644647867357,-39.3374565773607,-3002.2781682244035,-3005.445249548874
35,-2826.0644647867357,-39.3374565773607,-3009.2786900298365,-3005.445249548874
36,-2826.0644647867357,-39.3374565773607,-3035.1752423068683,-3005.445249548874
37,-2826.0644647867357,-39.3374565773607,-3038.6009368681625,-3005.445249548874
38,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
39,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
40,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
41,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
42,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
43,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
44,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
45,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
46,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
47,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
48,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
49,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
50,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
51,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
52,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
53,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
54,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
55,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
56,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
57,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
58,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
59,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
60,-2826.1741794073787,-39.3374565773607,-3132.6153273572295,-3005.445249548874
61,-2826.1741794073787,-39.3374565773607,-3294.4694243256777,-3005.445249548874
62,-2826.199623254176,-39.3374565773607,-3294.4694243256777,-3005.445249548874
63,-2826.199623254176,-39.3374565773607,-3348.6807113724403,-3005.445249548874
64,-2826.199623254176,-39.3374565773607,-3348.6807113724403,-3005.445249548874
65,-2826.2047840359014,-39.3374565773607,-3348.6807113724403,-3005.445249548874
66,-2826.2047840359014,-39.3374565773607,-3348.6807113724403,-3005.445249548874
67,-2826.2047840359014,-39.3374565773607,-3348.6807113724403,-3005.445249548874
68,-2826.2047840359014,-39.3374565773607,-3348.6807113724403,-3005.445249548874
69,-2826.2047840359014,-39.3374565773607,-3348.6807113724403,-3005.445249548874
