,GWO,PSO,SGA,IGA
0,-4285.589979840057,-74.11490639283404,-4074.2103559749885,-4691.473816050971
1,-6916.126309130137,-96.21149440478057,-5890.388864047381,-6480.346722088164
2,-15183.458400676027,-127.98632415930295,-5890.388864047381,-15634.862731619116
3,-19695.411155288173,-147.69470379365157,-5890.388864047381,-26017.37355758109
4,-24455.720718936893,-169.94526852539482,-6221.702986114582,-29421.715779608414
5,-24455.720718936893,-181.73240015159797,-6257.263317084507,-29721.170366860573
6,-25134.166154343675,-190.07859585761977,-6290.315588022226,-29752.914265481053
7,-26211.264863107885,-201.65482251188917,-6966.661899881198,-29752.914265481053
8,-26211.264863107885,-205.04399735368065,-7496.450161865117,-29874.924404973073
9,-26211.264863107885,-205.5229751102862,-7496.450161865117,-29907.265240454926
10,-26216.01705677366,-207.600063342905,-7496.450161865117,-29914.37789220377
11,-26321.423439185957,-209.87909690715122,-7623.029498683044,-29955.340499659214
12,-26343.017885432855,-213.03414306570784,-7948.799859158814,-29978.020704960087
13,-26503.581930896664,-213.92658205037998,-8419.105926186656,-29978.020704960087
14,-26503.581930896664,-216.20800966325137,-9237.655928389055,-29978.020704960087
15,-26605.143235691634,-219.72848049123064,-9237.655928389055,-29978.020704960087
16,-26636.081840067473,-220.28975683321988,-9237.655928389055,-29989.48512643517
17,-26711.104017760765,-220.28975683321988,-9237.655928389055,-29989.48512643517
18,-26711.104017760765,-220.28975683321988,-9672.15132057304,-29989.48512643517
19,-26786.25566968273,-220.28975683321988,-10010.410339010965,-29989.48512643517
20,-26786.25566968273,-220.28975683321988,-10500.24182663843,-29989.48512643517
21,-26786.25566968273,-220.28975683321988,-10858.08280748606,-29989.48512643517
22,-26786.25566968273,-220.28975683321988,-10858.08280748606,-29989.48512643517
23,-26786.25566968273,-220.28975683321988,-11261.59991124393,-29989.48512643517
24,-26821.937420695423,-220.28975683321988,-11261.59991124393,-29989.48512643517
25,-26821.937420695423,-220.28975683321988,-11490.153021435193,-29989.48512643517
26,-26821.937420695423,-220.28975683321988,-11575.140986741417,-29989.48512643517
27,-26821.937420695423,-220.28975683321988,-11903.726890553493,-29989.48512643517
28,-26821.937420695423,-220.28975683321988,-12276.15820319531,-29989.48512643517
29,-26821.937420695423,-220.28975683321988,-12276.15820319531,-30014.3083640891
30,-26821.937420695423,-220.28975683321988,-12486.253162059944,-30014.3083640891
31,-26821.937420695423,-220.28975683321988,-12486.253162059944,-30014.3083640891
32,-26821.937420695423,-220.28975683321988,-12515.27958256048,-30014.3083640891
33,-26821.937420695423,-220.28975683321988,-12835.457682911814,-30014.3083640891
34,-26835.406146699774,-220.28975683321988,-12987.795385948242,-30014.3083640891
35,-26835.406146699774,-220.28975683321988,-13014.982941041651,-30014.3083640891
36,-26835.406146699774,-220.28975683321988,-13303.04872891594,-30014.3083640891
37,-26835.406146699774,-220.28975683321988,-13303.04872891594,-30014.3083640891
38,-26877.558844340016,-220.28975683321988,-13630.5540528219,-30014.3083640891
