,GWO,PSO,SGA,IGA
0,2.680470915270761e+19,8.712891179414583e+21,4.008957489302067e+19,8.561837606207858e+19
1,4870266304602209.0,8.712891179414583e+21,1.0449386939895777e+18,1.0974701364854222e+16
2,195630193299933.56,8.712891179414583e+21,1.0449386939895777e+18,1386202007579178.2
3,18385051282960.426,8.712891179414583e+21,1.0449386939895777e+18,259151219348.7187
4,3434965704309.0884,6.867394579631143e+21,1.0449386939895777e+18,444812611.3947752
5,755425746863.2327,6.03497453061722e+21,1.0449386939895777e+18,1955503.9594766337
6,755425746863.2327,6.03497453061722e+21,1.0449386939895777e+18,470.5427154634149
7,62368658.82254279,6.03497453061722e+21,1.0449386939895777e+18,226.17604769964748
8,3483935.3191080606,6.03497453061722e+21,1.0449386939895777e+18,147.09565287954118
9,485050.6304414773,6.03497453061722e+21,1.0449386939895777e+18,110.65325331519443
10,271.3013551345314,6.03497453061722e+21,1.0449386939895777e+18,82.6853775257268
11,133.1276482046162,6.03497453061722e+21,1.0449386939895777e+18,57.32336981115972
12,95.81657239144229,4.675409023023067e+21,1.0449386939895777e+18,57.32336981115972
13,66.49905619087184,4.675409023023067e+21,1.0449386939895777e+18,43.38507664796191
14,25.13793002276128,4.675409023023067e+21,1.0449386939895777e+18,15.457864674543146
15,7.229949850137132,4.675409023023067e+21,5.131753901133344e+17,1.9623617225212229
16,0.6817102682190921,4.675409023023067e+21,4.74560119390615e+17,0.5204498055564954
17,0.6817102682190921,4.675409023023067e+21,4.74560119390615e+17,0.5204498055564954
18,0.26710005956726945,4.675409023023067e+21,1.1944756540958534e+17,0.14694319138578749
19,0.14134894316424607,4.675409023023067e+21,5.894826141538512e+16,0.09636914964647758
20,0.08770741812332972,3.7947100773118305e+21,3.1668513482017492e+16,0.04866360086367649
21,0.03121354556657252,3.7947100773118305e+21,3.159136294822663e+16,0.007604189117785154
22,0.014432374053455987,3.7947100773118305e+21,3.159136204498964e+16,0.006714279365553466
23,0.006787294392609056,3.7947100773118305e+21,3.159136204498964e+16,0.003121664309503558
