,test_n,x,y,z
423,8,-434.0,363.1875,-704.0265985968047
424,8,-434.0,363.1875,-704.0265985968047
425,8,-435.84375,363.1875,-711.5586433364564
426,8,-435.96875,363.1875,-712.0443329793943
427,8,-435.96875,363.1875,-712.0443329793943
428,8,-435.96875,363.1875,-712.0443329793943
429,8,-436.0,363.1875,-712.1652570969893
430,8,-434.0,363.1875,-704.0265985968047
431,8,-418.0,363.1875,-611.5704109782221
432,8,-435.96875,363.1875,-712.0443329793943
433,8,-434.0,363.1875,-704.0265985968047
434,8,-435.96875,363.1875,-712.0443329793943
435,8,-433.96875,363.1875,-703.8930324591315
436,8,78.0,363.1875,-247.8763630638245
437,8,-435.96875,363.1875,-712.0443329793943
438,8,-435.96875,363.1875,-712.0443329793943
439,8,-435.96875,363.1875,-712.0443329793943
440,8,-435.96875,363.1875,-712.0443329793943
441,8,-434.0,363.1875,-704.0265985968047
442,8,-443.96875,363.1875,-736.3444275707636
443,8,-435.96875,363.1875,-712.0443329793943
444,8,-435.96875,363.1875,-712.0443329793943
445,8,-435.96875,363.1875,-712.0443329793943
446,8,-433.96875,363.6875,-708.6933880753824
447,8,-438.0,363.1875,-719.4871281015955
448,8,-436.0,363.1875,-712.1652570969893
449,8,-435.96875,363.4375,-714.5506520711708
450,9,-365.25,-40.0,152.5352814430741
451,9,-361.625,248.9375,462.1468109245149
452,9,-357.25,-37.6875,100.28545194811404
453,9,-365.75,474.3125,-136.95143806337197
454,9,-365.25,504.9375,-528.9980279086586
455,9,-365.75,472.0,-107.90214344401102
456,9,-365.75,344.9375,-122.98518252211076
457,9,-365.25,-37.5625,172.16270204270182
458,9,-365.25,-37.5625,172.16270204270182
459,9,-360.5,508.25,-603.374526120084
460,9,-361.625,474.4375,-158.6869842201547
461,9,-377.25,-37.6875,266.82610136364343
462,9,-360.4375,508.25,-603.8574086704613
463,9,-357.25,-37.6875,100.28545194811404
464,9,-360.5,-39.0,118.29349916055762
465,9,-360.5,508.25,-603.374526120084
466,9,154.75,-40.0,60.18597573440839
467,9,-365.75,474.3125,-136.95143806337197
468,9,-365.25,-37.5625,172.16270204270182
469,9,-361.625,346.4375,-96.81842457457509
470,9,-361.625,475.4375,-172.16778443440688
471,9,-365.25,-40.0,152.5352814430741
472,9,-365.25,-8.0,368.786456738674
473,9,-361.0,508.25,-599.4901357890936
474,9,-365.25,-39.0625,160.12261532597566
475,9,-357.25,-40.0,79.88961731474576
476,9,-365.75,472.0,-107.90214344401102
477,9,-365.75,344.9375,-122.98518252211076
478,9,-365.75,474.4375,-138.53722291878563
479,9,-365.25,-37.6875,171.16421795771433
480,9,-333.75,472.0,-223.2155862712002
481,9,-365.75,336.8125,-97.89970124156412
482,9,-365.75,474.4375,-138.53722291878563
483,9,-365.75,472.0,-107.90214344401102
484,9,-365.75,472.0,-107.90214344401102
485,9,-365.25,-37.5625,172.16270204270182
486,9,-365.25,-37.5625,172.16270204270182
487,9,-357.25,-37.6875,100.28545194811404
488,9,-365.75,472.4375,-113.3536073581262
489,9,-365.625,344.9375,-122.19361451720746
490,9,-365.25,504.9375,-528.9980279086586
491,9,-365.75,344.875,-122.88876259738186
492,9,-365.75,474.4375,-138.53722291878563
493,9,-493.75,472.0,563.8526533134082
494,9,-365.25,-37.6875,171.16421795771433
495,9,-365.75,474.3125,-136.95143806337197
496,9,-365.75,344.9375,-122.98518252211076
497,9,-365.25,-37.5625,172.16270204270182
498,9,-365.25,-37.5625,172.16270204270182
499,9,-365.75,344.9375,-122.98518252211076
