,test_n,iter,x,y,z,time
0,0,0,512.0,408.1987666654096,-941.3544022030237,0.01673429999999998
1,0,1,512.0,408.1987666654096,-941.3544022030237,0.020969100000000074
2,0,2,512.0,408.1987666654096,-941.3544022030237,0.02964559999999994
3,0,3,512.0,408.1987666654096,-941.3544022030237,0.01726989999999995
4,0,4,512.0,408.1987666654096,-941.3544022030237,0.015609399999999996
5,0,5,512.0,403.65303488432716,-959.261353413932,0.017251499999999975
6,0,6,512.0,403.65303488432716,-959.261353413932,0.0166774999999999
7,0,7,512.0,403.65303488432716,-959.261353413932,0.016811099999999968
8,0,8,512.0,403.65303488432716,-959.261353413932,0.019848199999999983
9,0,9,512.0,403.65303488432716,-959.261353413932,0.017336499999999977
10,0,10,512.0,403.65303488432716,-959.261353413932,0.016115400000000002
11,0,11,512.0,403.65303488432716,-959.261353413932,0.01820069999999996
12,0,12,512.0,403.65303488432716,-959.261353413932,0.017649899999999996
13,0,13,512.0,403.65303488432716,-959.261353413932,0.017075700000000027
14,0,14,512.0,403.65303488432716,-959.261353413932,0.015857200000000016
15,0,15,512.0,403.65303488432716,-959.261353413932,0.015272400000000075
16,0,16,512.0,403.65303488432716,-959.261353413932,0.016936200000000068
17,0,17,512.0,403.65303488432716,-959.261353413932,0.015373199999999976
18,0,18,512.0,403.65303488432716,-959.261353413932,0.015882900000000033
19,0,19,512.0,403.65303488432716,-959.261353413932,0.015888000000000013
20,0,20,512.0,403.65303488432716,-959.261353413932,0.016216500000000078
21,0,21,512.0,403.65303488432716,-959.261353413932,0.01597129999999991
22,0,22,512.0,403.65303488432716,-959.261353413932,0.01632469999999997
23,0,23,512.0,403.65303488432716,-959.261353413932,0.015736199999999867
24,0,24,512.0,403.65303488432716,-959.261353413932,0.015545399999999931
25,0,25,512.0,403.65303488432716,-959.261353413932,0.015299199999999846
26,0,26,512.0,403.65303488432716,-959.261353413932,0.015284800000000098
27,0,27,512.0,403.65303488432716,-959.261353413932,0.015256699999999901
28,0,28,512.0,403.65303488432716,-959.261353413932,0.015045400000000209
29,0,29,512.0,403.65303488432716,-959.261353413932,0.014900000000000135
30,0,30,512.0,403.65303488432716,-959.261353413932,0.01816119999999999
31,0,31,512.0,403.65303488432716,-959.261353413932,0.01520520000000003
32,0,32,512.0,403.65303488432716,-959.261353413932,0.014966599999999941
33,0,33,512.0,403.65303488432716,-959.261353413932,0.018758900000000134
34,0,34,512.0,403.65303488432716,-959.261353413932,0.017777699999999896
35,0,35,512.0,403.65303488432716,-959.261353413932,0.0147119
36,0,36,512.0,403.65303488432716,-959.261353413932,0.014437000000000033
37,0,37,512.0,403.65303488432716,-959.261353413932,0.016553299999999993
38,0,38,512.0,403.65303488432716,-959.261353413932,0.014510000000000023
39,0,39,512.0,403.65303488432716,-959.261353413932,0.017044700000000024
40,0,40,512.0,403.65303488432716,-959.261353413932,0.016805599999999865
41,0,41,512.0,403.65303488432716,-959.261353413932,0.013594800000000129
42,0,42,512.0,403.65303488432716,-959.261353413932,0.014842000000000022
43,0,43,512.0,403.65303488432716,-959.261353413932,0.01401769999999991
44,0,44,512.0,403.65303488432716,-959.261353413932,0.015887100000000043
45,0,45,512.0,403.65303488432716,-959.261353413932,0.015975899999999932
46,0,46,512.0,403.65303488432716,-959.261353413932,0.016209699999999883
47,0,47,512.0,403.65303488432716,-959.261353413932,0.014226799999999873
48,0,48,512.0,403.65303488432716,-959.261353413932,0.013534500000000005
49,0,49,512.0,403.65303488432716,-959.261353413932,0.01409220000000011
50,0,50,512.0,403.65303488432716,-959.261353413932,0.015876199999999896
51,0,51,512.0,403.65303488432716,-959.261353413932,0.016707200000000144
52,0,52,512.0,403.65303488432716,-959.261353413932,0.015218799999999977
53,0,53,512.0,403.65303488432716,-959.261353413932,0.0364977999999998
54,0,54,512.0,403.65303488432716,-959.261353413932,0.031057200000000007
55,0,55,512.0,403.65303488432716,-959.261353413932,0.014048499999999908
56,0,56,512.0,403.65303488432716,-959.261353413932,0.013890199999999853
57,0,57,512.0,403.65303488432716,-959.261353413932,0.014470599999999889
58,0,58,512.0,403.65303488432716,-959.261353413932,0.013933799999999996
59,0,59,512.0,403.65303488432716,-959.261353413932,0.013643199999999966
60,0,60,512.0,403.65303488432716,-959.261353413932,0.01452679999999984
61,0,61,512.0,403.65303488432716,-959.261353413932,0.01380249999999994
62,0,62,512.0,403.65303488432716,-959.261353413932,0.01385000000000014
63,0,63,512.0,403.65303488432716,-959.261353413932,0.014241699999999913
64,0,64,512.0,403.65303488432716,-959.261353413932,0.013741000000000003
65,0,65,512.0,403.65303488432716,-959.261353413932,0.01366770000000006
66,0,66,512.0,403.65303488432716,-959.261353413932,0.013684400000000041
67,0,67,512.0,403.65303488432716,-959.261353413932,0.013586799999999899
68,0,68,512.0,403.65303488432716,-959.261353413932,0.013720000000000176
69,0,69,512.0,403.65303488432716,-959.261353413932,0.01384160000000012
70,0,70,512.0,403.65303488432716,-959.261353413932,0.01383829999999997
71,0,71,512.0,403.65303488432716,-959.261353413932,0.014220600000000028
72,0,72,512.0,403.65303488432716,-959.261353413932,0.01428739999999995
73,0,73,512.0,403.65303488432716,-959.261353413932,0.0269142
74,0,74,512.0,403.65303488432716,-959.261353413932,0.02798579999999995
75,0,75,512.0,403.65303488432716,-959.261353413932,0.01745679999999994
76,0,76,512.0,403.65303488432716,-959.261353413932,0.014410999999999952
77,0,77,512.0,403.65303488432716,-959.261353413932,0.015722400000000025
78,0,78,512.0,403.65303488432716,-959.261353413932,0.016537500000000094
79,0,79,512.0,403.65303488432716,-959.261353413932,0.01635589999999998
80,0,80,512.0,403.65303488432716,-959.261353413932,0.013944100000000015
81,0,81,512.0,403.65303488432716,-959.261353413932,0.013769200000000037
82,0,82,512.0,403.65303488432716,-959.261353413932,0.013883100000000148
83,0,83,512.0,403.65303488432716,-959.261353413932,0.013917999999999875
84,0,84,512.0,403.65303488432716,-959.261353413932,0.013757199999999692
85,0,85,512.0,403.65303488432716,-959.261353413932,0.013974500000000223
86,0,86,512.0,403.65303488432716,-959.261353413932,0.013711100000000087
87,0,87,512.0,403.65303488432716,-959.261353413932,0.013758900000000018
88,0,88,512.0,403.65303488432716,-959.261353413932,0.015789900000000134
89,0,89,512.0,403.65303488432716,-959.261353413932,0.014132100000000314
90,0,90,512.0,403.65303488432716,-959.261353413932,0.02337839999999991
91,0,91,512.0,403.65303488432716,-959.261353413932,0.039776900000000115
92,0,92,512.0,403.65303488432716,-959.261353413932,0.02243309999999976
93,0,93,512.0,403.65303488432716,-959.261353413932,0.01969770000000004
94,0,94,512.0,403.65303488432716,-959.261353413932,0.020098700000000136
95,0,95,512.0,403.65303488432716,-959.261353413932,0.03707159999999998
96,0,96,512.0,403.65303488432716,-959.261353413932,0.019638899999999904
97,0,97,512.0,403.65303488432716,-959.261353413932,0.01819539999999975
98,0,98,512.0,403.65303488432716,-959.261353413932,0.015275099999999764
99,0,99,512.0,403.65303488432716,-959.261353413932,0.013684399999999819
100,0,100,512.0,403.65303488432716,-959.261353413932,0.013991000000000309
101,1,0,391.7450895213178,437.45742370685906,-314.83399611366957,0.015343799999999685
102,1,1,-468.97623017137425,-393.81058886303083,-764.1988015840193,0.015369500000000258
103,1,2,-468.97623017137425,-393.81058886303083,-764.1988015840193,0.015236499999999875
104,1,3,-468.97623017137425,-393.81058886303083,-764.1988015840193,0.014877599999999713
105,1,4,-447.80942722125536,-372.64378591291194,-770.3965783155193,0.01695979999999997
106,1,5,-449.7334219047116,-374.56778059636815,-776.0123626041109,0.01613309999999979
107,1,6,-450.45599165677146,-375.29035034842803,-777.8067469629457,0.01362650000000043
108,1,7,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.013750300000000326
109,1,8,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.016707300000000203
110,1,9,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.016652699999999854
111,1,10,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.017304900000000067
112,1,11,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.014800199999999819
113,1,12,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.017155500000000323
114,1,13,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.01405870000000009
115,1,14,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.014549900000000004
116,1,15,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.016665500000000222
117,1,16,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.01484210000000008
118,1,17,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.015507200000000054
119,1,18,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.015072400000000208
120,1,19,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.026054199999999916
121,1,20,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.02713769999999993
122,1,21,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.027575200000000244
123,1,22,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.02570080000000008
124,1,23,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.01481269999999979
125,1,24,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.03569829999999996
126,1,25,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.039432599999999596
127,1,26,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.036608900000000055
128,1,27,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.04207729999999987
129,1,28,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.020025199999999632
130,1,29,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.0188786000000003
131,1,30,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.0211017
132,1,31,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.040464399999999845
133,1,32,-453.14967544138415,-377.9840341330407,-782.9644886170669,0.02143969999999973
